AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,REG_FEE,COMMIS,SALES_PRICE,NULL
Anna Nagar,1600,170,1,1,4,No,507580,199406,18127850,1
Chrompet,1270,134,2,1,4,No,231467,25719,8572850,1
Chrompet,1150,195,1,1,3,No,275365,97710,8882750,1
KK Nagar,2369,173,4,2,6,Yes,952411,485924,19436960,1
Anna Nagar,1814,110,2,1,5,Yes,612639,326741,20421310,1
T Nagar,1925,49,2,1,5,No,652487,382492,22499550,1
Karapakkam,1217,17,1,1,3,Yes,177018,142756,5710250,1
Anna Nagar,1668,40,1,1,4,No,401057,151751,10839370,1
Velachery,1668,15,2,1,4,Yes,399747,71749,10249920,1
Karapakkam,1435,81,2,2,4,Yes,389268,173008,10813000,1
Adyar,762,16,1,1,2,No,291358,43704,7283940,1
Velachery,1816,29,3,2,5,No,339263,131936,9423970,1
Chrompet,1255,129,2,1,4,No,296466,92007,10222950,1
KK Nagar,2011,193,3,2,5,Yes,413279,129150,12914980,1
Velachery,1874,154,3,2,5,Yes,548259,182753,14057920,1
Velachery,1743,86,2,1,4,No,474930,187472,12498160,1
Anna Nagar,1545,45,1,1,4,Yes,570913,247396,19030440,1
Chrompet,782,195,1,1,2,Yes,334174,119348,11934800,1
Karapakkam,1349,59,2,2,4,Yes,242798,57129,7141125,1
KK Nagar,2443,118,4,2,6,No,539801,140818,11734800,1
KK Nagar,1696,35,2,1,4,Yes,466518,87472,9719120,1
Velachery,1727,5,2,1,4,No,491421,225788,13281650,1
Chrompet,813,103,1,1,3,Yes,247321,95124,9512350,1
Anna Nagar,1998,20,2,1,5,Yes,761636,313615,22401070,1
KK Nagar,1961,197,3,2,5,Yes,391119,176634,12616740,1
KK Nagar,2298,106,4,2,6,No,593664,176836,12631140,1
Karapakkam,1544,52,2,2,4,No,581543,124616,13846250,1
Anna Nagar,1930,158,2,1,5,No,517380,227647,20695180,1
Adyar,642,72,1,1,2,Yes,243635,89333,8121150,1
Chrompet,1066,120,1,1,3,No,302547,67233,11205450,1
Anna Nagar,1673,120,1,1,4,Yes,588116,102920,14702890,1
Anna Nagar,1829,24,2,1,5,Yes,474384,158128,13177330,1
Karapakkam,616,84,1,1,2,No,231387,74861,6805500,1
Adyar,713,60,1,1,2,No,235892,85779,7148255,1
Chrompet,838,31,1,1,3,No,234411,108834,8371810,1
Velachery,1804,64,3,2,5,Yes,450245,145240,14524030,1
Anna Nagar,1840,48,2,1,5,Yes,414086,82817,13802880,1
Adyar,876,99,1,1,3,Yes,254248,95343,7945255,1
Karapakkam,1213,167,1,1,3,No,225373,132573,6628625,1
Velachery,1541,42,2,1,4,No,183955,72467,5574400,1
Karapakkam,1401,132,2,2,4,No,371312,189606,7900250,1
Velachery,1637,100,2,1,4,No,275903,181061,8621960,1
Chrompet,1299,104,2,1,4,Yes,319820,153988,11845200,1
Karapakkam,1160,52,1,1,3,No,380650,133228,9516250,1
Chrompet,770,181,1,1,2,Yes,248182,119812,8558000,1
Karapakkam,1496,60,2,2,4,Yes,293685,234948,9789500,1
Chrompet,911,125,1,1,3,Yes,276658,108986,8383570,1
T Nagar,1763,93,1,1,4,Yes,449035,72817,12136090,1
Chrompet,858,96,1,1,3,Yes,222643,89057,8905710,1
Velachery,1943,36,3,2,5,No,515611,151650,15165030,1
Velachery,1920,192,3,2,5,No,293886,71245,8905640,1
Karapakkam,672,34,1,1,2,Yes,185576,134964,5623500,1
Chrompet,912,90,1,1,3,Yes,268993,89664,9962690,1
Karapakkam,584,59,1,1,2,Yes,178841,51098,5109750,1
KK Nagar,2222,20,4,2,6,Yes,561790,355800,18726320,1
Anna Nagar,1939,130,2,1,5,Yes,826735,317975,21198330,1
Karapakkam,1420,76,2,2,4,No,213983,57062,7132750,1
Anna Nagar,1993,15,2,1,5,Yes,366527,257926,13575070,1
T Nagar,1818,146,2,1,5,Yes,331690,252085,13267610,1
Karapakkam,1459,126,2,2,4,Yes,307376,134477,9605500,1
Velachery,1889,78,3,2,5,Yes,277185,187770,8941450,1
Chrompet,1155,99,1,1,3,Yes,273966,166337,9784500,1
Anna Nagar,1707,145,1,1,4,Yes,652776,163194,20399250,1
Adyar,896,135,1,1,3,No,217915,62261,6226140,1
Velachery,1972,194,3,2,5,No,370175,92544,10282630,1
Velachery,1506,172,2,1,4,Yes,303478,123032,8202120,1
Chrompet,868,179,1,1,3,Yes,224507,25905,8634900,1
Anna Nagar,1661,143,1,1,4,Yes,620145,263092,18792260,1
Chrompet,962,20,1,1,3,Yes,393237,208907,12288650,1
KK Nagar,1609,49,2,1,4,Yes,509014,90491,11311420,1
Chrompet,1250,124,2,1,4,Yes,327563,133073,10236350,1
Anna Nagar,1796,183,1,1,4,Yes,524411,262205,13800280,1
Karapakkam,909,125,1,1,3,No,245474,81825,5844625,1
Velachery,1930,140,3,2,5,No,355606,248924,11853530,1
Anna Nagar,2000,124,2,1,5,No,597426,128020,21336660,1
Adyar,949,6,1,1,3,Yes,258196,72825,6620420,1
Anna Nagar,1639,153,1,1,4,No,449414,143812,17976550,1
Chrompet,923,7,1,1,3,Yes,222768,122906,7681650,1
Karapakkam,502,59,1,1,2,No,182189,112529,5358500,1
Velachery,1511,74,2,1,4,Yes,373319,176289,10369970,1
Adyar,873,11,1,1,3,Yes,453261,163678,12590580,1
KK Nagar,2155,151,3,2,5,No,426264,157045,11217480,1
Adyar,647,28,1,1,2,Yes,244951,28818,7204440,1
Chrompet,934,75,1,1,3,Yes,253458,28162,9387330,1
KK Nagar,2251,156,4,2,6,Yes,571662,233862,12992320,1
Karapakkam,670,19,1,1,2,Yes,176007,63182,4513000,1
Karapakkam,1343,117,2,2,4,No,280645,182040,7585000,1
Chrompet,1021,14,1,1,3,Yes,327733,50420,12605100,1
Karapakkam,882,173,1,1,2,No,272350,119834,5447000,1
Velachery,1573,121,2,1,4,No,296910,152467,8024600,1
Anna Nagar,1979,83,2,1,5,No,727335,161630,20203750,1
T Nagar,1926,100,2,1,5,No,714235,147048,21006920,1
Karapakkam,1347,94,2,2,4,No,299578,101984,6374000,1
T Nagar,1760,173,1,1,4,Yes,544051,233165,19430380,1
KK Nagar,1776,95,2,1,4,Yes,545043,317942,15140080,1
Chrompet,1037,127,1,1,3,Yes,318918,159459,9966200,1
Karapakkam,1365,108,2,2,4,Yes,332385,139138,7729875,1
Karapakkam,1179,81,1,1,3,No,447722,91580,10175500,1
Anna Nagar,1514,181,1,1,4,Yes,467152,215609,11978250,1
Chrompet,1103,26,1,1,3,Yes,408662,40866,13622050,1
Chrompet,878,165,1,1,3,No,286735,71684,8960460,1
Anna Nagar,1571,138,1,1,4,No,508745,122801,17542930,1
Velachery,1502,185,2,1,4,No,247144,82381,7489210,1
Velachery,1737,107,2,1,4,No,307536,138391,7688390,1
Karapakkam,1252,47,1,1,3,Yes,308481,248775,9951000,1
Karapakkam,1584,85,2,2,4,Yes,327684,160356,6972000,1
Anna Nagar,1658,17,1,1,4,No,376415,125472,12547180,1
Anna Nagar,1833,78,2,1,5,Yes,745505,416606,21926630,1
Chrompet,1057,173,1,1,3,Yes,264861,152804,10186950,1
Karapakkam,871,187,1,1,2,No,311586,90879,6491375,1
Chrompet,844,22,1,1,3,No,245655,76767,7676730,1
Anna Nagar,1741,160,1,1,4,No,760754,308414,20560910,1
KK Nagar,2497,197,4,2,6,Yes,445401,301723,14367780,1
Karapakkam,1265,55,1,1,3,No,242471,103916,6927750,1
Anna Nagar,1769,28,1,1,4,Yes,418558,294541,15502160,1
T Nagar,1902,21,2,1,5,Yes,427193,124024,13780420,1
KK Nagar,1895,63,3,2,5,No,551971,340923,16234440,1
KK Nagar,1531,188,2,1,4,Yes,459589,292466,13926940,1
Velachery,1838,68,3,2,5,No,367105,67625,9660660,1
Adyar,1288,64,2,2,4,No,403624,74352,10621695,1
Anna Nagar,1738,19,1,1,4,No,432461,248993,13104880,1
Karapakkam,1010,197,1,1,3,Yes,271490,115383,6787250,1
Adyar,909,0,1,1,3,No,294363,137369,9812105,1
Velachery,1635,35,2,1,4,Yes,511962,138368,13836800,1
Karapakkam,744,59,1,1,2,No,235620,104720,5236000,1
Karapakkam,945,22,1,1,3,No,148230,98820,4941000,1
Chrompet,1063,109,1,1,3,Yes,271962,40291,10072650,1
Anna Nagar,1823,22,2,1,5,No,573101,305654,19103360,1
KK Nagar,1358,128,2,1,4,No,428906,111888,9324040,1
Velachery,1870,164,3,2,5,No,333188,76890,8543280,1
Chrompet,1207,56,2,1,4,No,241092,116081,8929340,1
Anna Nagar,1892,123,2,1,5,No,484060,248571,13082710,1
Velachery,1857,109,3,2,5,No,386589,75170,10738570,1
Adyar,1296,39,2,2,4,Yes,466060,151470,11651505,1
Chrompet,1012,63,1,1,3,Yes,233292,116646,8331850,1
Chrompet,733,156,1,1,2,No,226915,65879,7319850,1
Karapakkam,1224,129,1,1,3,Yes,415557,277038,11543250,1
Velachery,1587,85,2,1,4,No,262786,145992,7299610,1
Chrompet,858,86,1,1,3,No,241303,146505,8617960,1
Chrompet,830,176,1,1,3,Yes,343425,201318,11842250,1
Velachery,1665,91,2,1,4,No,285641,82686,7516880,1
Adyar,1003,49,1,1,3,Yes,493776,148133,12344390,1
Chrompet,867,108,1,1,3,Yes,293129,113469,9455790,1
Chrompet,1081,69,1,1,3,Yes,327257,152720,10908570,1
Velachery,1976,147,3,2,5,Yes,564475,259353,15256080,1
Chrompet,1118,77,1,1,3,No,234585,95572,8688350,1
Karapakkam,1283,46,1,1,3,No,400679,179897,8177125,1
Chrompet,889,119,1,1,3,Yes,323306,184746,11546650,1
KK Nagar,2236,99,4,2,6,Yes,547580,216485,12734420,1
KK Nagar,2113,158,3,2,5,No,596778,258066,16129140,1
T Nagar,1843,168,2,1,5,No,584913,271567,20889760,1
KK Nagar,1795,47,3,2,5,Yes,564044,103600,11511100,1
Adyar,1070,70,1,1,3,No,295275,101015,7770395,1
T Nagar,1545,58,1,1,4,No,454649,286261,16838870,1
Velachery,1700,113,2,1,4,Yes,511071,131418,14602040,1
T Nagar,1511,4,1,1,4,No,355688,165141,12703130,1
Chrompet,1104,67,1,1,3,No,231447,140522,8265980,1
Adyar,771,32,1,1,2,No,267474,125379,8358575,1
KK Nagar,1605,97,2,1,4,Yes,469485,272957,10918260,1
Anna Nagar,1558,55,1,1,4,Yes,394362,215106,11950360,1
KK Nagar,1550,15,2,1,4,No,290692,72673,9084140,1
Chrompet,853,50,1,1,3,Yes,360914,67671,11278550,1
Adyar,948,61,1,1,3,Yes,272406,93192,7168585,1
Karapakkam,942,159,1,1,3,Yes,210230,105115,5255750,1
Chrompet,1102,136,1,1,3,No,211165,135146,8446600,1
Chrompet,823,197,1,1,3,Yes,210377,54542,7791750,1
T Nagar,1792,44,1,1,4,Yes,584753,104956,14993670,1
Chrompet,871,1,1,1,3,Yes,288503,131138,8742520,1
Velachery,1644,75,2,1,4,Yes,314640,94392,7866010,1
Chrompet,1081,18,1,1,3,Yes,283133,70783,8847900,1
KK Nagar,1759,96,2,1,4,No,384525,114318,10392560,1
Anna Nagar,1611,32,1,1,4,Yes,472198,214636,14309040,1
Chrompet,1138,50,1,1,3,Yes,321034,90291,10032310,1
Anna Nagar,1886,52,2,1,5,Yes,540211,140055,20007810,1
KK Nagar,2207,39,3,2,5,No,454392,92944,10327100,1
KK Nagar,1678,183,2,1,4,No,648725,330982,13239280,1
Chrompet,886,6,1,1,3,Yes,337764,81063,13510550,1
Anna Nagar,1691,108,1,1,4,No,543965,344511,18132160,1
Adyar,1278,28,2,2,4,No,366385,118189,11818860,1
T Nagar,1835,86,2,1,5,Yes,839611,377825,20990270,1
Anna Nagar,1827,134,2,1,5,No,377713,134027,12184280,1
Karapakkam,922,182,1,1,3,Yes,313044,79926,6660500,1
Chrompet,1207,115,2,1,4,No,383338,68453,13690650,1
Chrompet,870,171,1,1,3,Yes,245081,40847,8169350,1
Velachery,1651,127,2,1,4,No,213070,63921,7102330,1
Adyar,846,77,1,1,3,No,303319,92681,8425520,1
Chrompet,1085,92,1,1,3,No,356510,50930,12732500,1
Chrompet,1166,28,1,1,3,Yes,399993,237033,14814550,1
Adyar,601,176,1,1,2,No,236335,60599,6059870,1
Karapakkam,711,144,1,1,2,No,125663,92153,4188750,1
Chrompet,1005,120,1,1,3,Yes,221952,119512,8536600,1
Velachery,1554,121,2,1,4,No,326028,175553,8359690,1
Karapakkam,1245,124,1,1,3,Yes,416936,274300,10972000,1
Velachery,1783,104,2,1,4,Yes,424550,247654,11793060,1
Chrompet,909,120,1,1,3,No,210183,40420,8083950,1
Chrompet,1214,185,2,1,4,No,372367,192604,12840250,1
Velachery,1743,6,2,1,4,Yes,281771,93924,9392380,1
Chrompet,1035,126,1,1,3,No,436359,211568,13223000,1
T Nagar,1848,15,2,1,5,Yes,458516,85972,14328620,1
Velachery,1880,109,3,2,5,Yes,561997,167080,15189120,1
T Nagar,1790,175,1,1,4,Yes,548615,233161,13715380,1
Chrompet,862,145,1,1,3,Yes,398436,185937,13281200,1
Chrompet,927,24,1,1,3,No,294228,169747,11316450,1
Chrompet,1088,193,1,1,3,No,210718,45154,7525650,1
Karapakkam,1362,174,2,2,4,No,266895,185344,7413750,1
T Nagar,1754,200,1,1,4,Yes,546333,238145,14008530,1
Chrompet,1097,110,1,1,3,No,252446,158947,9349850,1
Adyar,1295,39,2,2,4,No,301111,7528,7527770,1
Velachery,1607,85,2,1,4,Yes,523692,314215,14962620,1
Karapakkam,1606,200,2,2,4,Yes,305190,175484,7629750,1
Karapakkam,1291,74,1,1,3,Yes,348150,186220,8096500,1
KK Nagar,1418,94,2,1,4,Yes,392894,187092,9354620,1
KK Nagar,1317,116,1,1,3,No,438847,288715,11548600,1
Anna Nagar,1832,46,2,1,5,No,558540,248240,20686670,1
Adyar,993,196,1,1,3,Yes,246113,36193,7238630,1
Adyar,1153,122,1,1,3,No,353337,19630,9814930,1
Chrompet,724,97,1,1,2,Yes,249624,112734,8052400,1
KK Nagar,1582,108,2,1,4,Yes,365072,177603,9866820,1
Karapakkam,1115,157,1,1,3,No,384794,164912,9161750,1
Adyar,1112,37,1,1,3,No,230911,91149,6076595,1
Karapakkam,1678,72,2,2,4,Yes,343086,56014,7001750,1
Karapakkam,806,54,1,1,2,Yes,164055,98433,5468500,1
Velachery,1503,154,2,1,4,No,411038,253877,12089360,1
KK Nagar,2346,36,4,2,6,Yes,576634,115327,12814080,1
Karapakkam,839,175,1,1,2,No,302808,154494,6179750,1
Chrompet,760,92,1,1,2,No,247189,119333,8523750,1
Karapakkam,1506,81,2,2,4,Yes,298215,139167,9940500,1
Velachery,1640,15,2,1,4,Yes,299258,139654,9975260,1
Karapakkam,896,72,1,1,3,Yes,332856,159494,6934500,1
Karapakkam,1409,191,2,2,4,Yes,379556,79442,8826875,1
KK Nagar,1633,93,2,1,4,No,331562,185285,9751820,1
Chrompet,1139,171,1,1,3,Yes,462139,231070,14441850,1
Chrompet,1101,189,1,1,3,Yes,450155,231898,13641050,1
KK Nagar,2396,109,4,2,6,Yes,496399,318205,12728180,1
Chrompet,1119,8,1,1,3,Yes,259670,31160,10386800,1
Anna Nagar,1857,188,2,1,5,Yes,535165,78701,15740140,1
T Nagar,1886,158,2,1,5,Yes,530200,125574,13952630,1
Velachery,1692,52,2,1,4,No,370480,200259,10012960,1
Velachery,1655,115,2,1,4,Yes,535198,233292,13723030,1
Karapakkam,622,185,1,1,2,Yes,199122,150850,6034000,1
Velachery,1647,62,2,1,4,No,233471,75535,6866800,1
Adyar,1239,79,2,2,4,No,330302,70064,10009165,1
KK Nagar,1471,19,2,1,4,Yes,363228,147561,11350880,1
KK Nagar,1505,194,2,1,4,Yes,410230,170096,10005620,1
Chormpet,916,173,1,,3,Yes,265423,44237,8847420,1
Adyar,693,84,1,1,2,No,237188,81143,6241800,1
Velachery,1852,38,3,2,5,No,240380,100805,7754200,1
Chrompet,1191,112,1,1,3,Yes,453844,123776,13752850,1
Chrompet,1061,103,1,1,3,Yes,292148,100741,10074070,1
KK Nagar,2493,169,4,2,6,No,583328,170137,12152660,1
Chrompet,1015,132,1,1,3,No,249761,22706,7568500,1
KK Nagar,1911,148,3,2,5,No,475837,95167,10574160,1
Chrompet,1287,101,2,1,4,No,328890,79731,9966350,1
Karapakkam,1576,93,2,2,4,Yes,341784,126948,9765250,1
Chrompet,840,56,1,1,3,No,249271,137529,8595550,1
Velachery,1626,63,2,1,4,Yes,279030,189020,9000960,1
Chrompet,1262,107,2,1,4,No,422870,132147,13214700,1
Chrompet,1261,57,2,1,4,Yes,286982,187642,11037750,1
Chrompet,1015,134,1,1,3,No,229223,137534,9168900,1
Chrompet,1195,192,1,1,3,Yes,439231,141688,14168750,1
Chrompet,800,15,1,1,2,Yes,238773,135305,7959100,1
Velachery,1873,184,3,2,5,Yes,616841,154210,15421030,1
KK Nagar,2207,45,3,2,5,No,524246,171182,10698900,1
Velachery,1732,72,2,1,4,No,516352,209332,13955470,1
Chrompet,961,110,1,1,3,Yes,316546,177266,12661850,1
Velachery,1986,101,3,2,5,No,404059,103605,10360480,1
Anna Nagar,1823,98,2,1,5,Yes,537668,101721,14531570,1
Chrompet,830,84,1,1,3,No,186081,64166,6416600,1
Chrompet,724,132,1,1,2,Yes,315882,157941,10529400,1
Chrompet,1007,46,1,1,3,No,231154,119305,7456590,1
Velachery,1875,165,3,2,5,No,527187,271125,15062480,1
Adyar,1150,170,1,1,3,No,396467,104947,11660780,1
Velachery,1693,144,2,1,4,Yes,497620,229671,12759490,1
Velachery,1538,157,2,1,4,No,211773,129796,6831380,1
Anna Nagar,1993,60,2,1,5,No,722752,163202,23314580,1
Adyar,926,175,1,1,3,No,369326,160041,12310870,1
Anna Nagar,1994,68,2,1,5,Yes,439277,287802,15147490,1
Chrompet,1061,177,1,1,3,No,300821,141010,9400670,1
Anna Nagar,1803,77,2,1,5,Yes,423315,205244,12827720,1
Velachery,1664,47,2,1,4,Yes,428979,128694,14299300,1
Adyar,978,187,1,1,3,No,217702,34016,6803175,1
T Nagar,1914,105,2,1,5,Yes,536363,147500,13409070,1
Velachery,1668,167,2,1,4,No,316223,180699,9034940,1
Adyar,1205,106,2,2,4,No,499782,114236,14279490,1
Karapakkam,685,73,1,1,2,No,227740,51242,5693500,1
KK Nagar,2088,170,3,2,5,No,463215,121318,11028940,1
Chrompet,1014,54,1,1,3,Yes,343748,53711,10742130,1
Chrmpet,806,137,1,1,3,Yes,210030,108905,7778900,1
Velachery,1545,157,2,1,4,Yes,309593,154797,9674790,1
Chrompet,1045,90,1,1,3,No,432667,108167,13520850,1
T Nagar,1951,122,2,1,5,Yes,461605,149343,13576610,1
Karapakkam,898,196,1,1,3,No,180749,41314,5164250,1
KK Nagar,2339,9,4,2,6,Yes,753187,263616,18829680,1
KK Nagar,2379,68,4,2,6,No,499658,154656,11896620,1
Karapakkam,1692,94,2,2,4,Yes,338870,119601,9966750,1
KK Nagar,2352,145,4,2,6,Yes,691429,158453,14404780,1
Chrompet,1114,64,1,1,3,Yes,282411,136336,9738300,1
Anna Nagar,1890,54,2,1,5,Yes,374737,214135,13383450,1
KK Nagar,2363,64,4,2,6,No,390077,286822,11472860,1
Velachery,1527,17,2,1,4,No,437342,121484,12148390,1
KK Nagar,2193,35,3,2,5,Yes,472218,310315,13491940,1
Adyar,1206,142,2,2,4,Yes,337612,112537,9378105,1
Chrompet,728,149,1,1,2,Yes,246589,53941,7705900,1
Chrompet,1231,23,2,1,4,Yes,295745,28620,9540150,1
Velachery,1735,182,2,1,4,Yes,570007,195002,15000180,1
Karapakkam,1266,0,1,1,3,Yes,333274,156435,6801500,1
Velachery,1977,93,3,2,5,No,250536,148756,7829240,1
T Nagar,1915,4,2,1,5,Yes,336613,228897,13464510,1
Chrompet,1295,126,2,1,4,Yes,335049,173301,11553400,1
Chrompet,749,55,1,1,2,No,305413,124074,9544150,1
T Nagar,1884,77,2,1,5,Yes,655925,389456,20497670,1
KK Nagar,1361,60,2,1,4,Yes,457413,180838,10637520,1
KK Nagar,1934,28,3,2,5,No,425711,261976,10915660,1
Chrompet,1055,72,1,1,3,Yes,330437,160212,10013250,1
Chrompet,851,0,1,1,3,Yes,305989,173394,10199620,1
Chrompet,1118,176,1,1,3,Yes,228323,40772,8154400,1
Karapakkam,1451,32,2,2,4,No,225080,98816,5489750,1
KK Nagar,2470,70,4,2,6,No,407138,151223,11632500,1
Chrompet,935,78,1,1,3,No,342752,154791,11056500,1
KK Nagar,2500,137,4,2,6,No,557226,133250,12113600,1
Anna Nagar,1984,191,2,1,5,No,743552,371776,20654230,1
Anna Nagar,1818,111,2,1,5,No,405693,285488,15025660,1
Velachery,1741,109,2,1,4,No,329738,208834,10991250,1
Chrompet,1065,127,1,1,3,No,232284,26802,8934000,1
Chrompet,858,129,1,1,3,No,382718,150768,11597500,1
Chrompet,702,14,1,1,2,No,205995,90123,6437350,1
Karapakkam,613,27,1,1,2,No,152162,88094,4004250,1
Anna Nagar,1896,101,2,1,5,No,682594,393009,20684660,1
Karapakkam,833,154,1,1,2,No,163356,58808,3267125,1
KK Nagar,2047,122,3,2,5,No,508503,272855,12402500,1
T Nagar,1579,94,1,1,4,Yes,516356,363362,19124310,1
Chrompet,988,53,1,1,3,Yes,336550,180295,12019650,1
T Nagar,1667,60,1,1,4,Yes,336900,134760,13476000,1
Karapakkam,1184,29,1,1,3,No,170696,68279,3793250,1
Velachery,1733,0,2,1,4,No,341368,88095,11011880,1
Chrompet,1106,139,1,1,3,Yes,234179,54041,9006900,1
KK Nagar,2058,48,4,2,6,No,717230,170769,17076900,1
Chrompet,1055,138,1,1,3,Yes,246372,149583,8799000,1
T Nagar,1735,2,1,1,4,Yes,497626,113743,14217890,1
Chrompet,809,37,1,1,3,No,242482,29392,7347950,1
KK Nagar,1335,113,2,1,4,No,279625,207464,9020160,1
Karapakkam,652,128,1,1,2,No,244500,40750,5093750,1
Chrompet,1095,131,1,1,3,Yes,372954,67810,11301650,1
Karapakkam,1477,47,2,2,4,No,368892,169076,7685250,1
Velachery,1819,190,3,2,5,No,310069,175985,8380250,1
T Nagar,1982,152,2,1,5,Yes,397023,111167,15880930,1
Anna Nagar,1599,29,1,1,4,No,341746,125307,11391530,1
Chrompet,941,34,1,1,3,No,261795,77569,9696120,1
Chrompet,1198,113,1,1,3,No,288661,81186,9020650,1
Adyar,967,194,1,1,3,Yes,320273,40034,10008525,1
Velachery,1637,155,2,1,4,Yes,424542,121298,12129780,1
Karapakkam,1678,147,2,2,4,No,236793,169138,6765500,1
Adyar,1023,8,1,1,3,No,265436,8848,8847850,1
Karapakkam,774,78,1,1,2,No,196843,86977,4577750,1
Chrompet,1032,153,1,1,3,No,373758,140159,11679950,1
Chrompet,889,149,1,1,3,Yes,280292,100104,10010430,1
Karapakkam,974,97,1,1,3,No,259182,123701,5890500,1
Karapakkam,790,73,1,1,2,Yes,235229,55348,6918500,1
Karapakkam,931,86,1,1,3,No,169826,82340,5146250,1
Adyar,659,110,1,1,2,Yes,270163,7946,7945975,1
KK Nagar,2120,143,3,2,5,Yes,558127,167438,18604220,1
Chrompet,843,142,1,1,3,No,191328,44153,7358760,1
Chrompet,736,143,1,1,2,No,301939,94356,9435600,1
Chrompet,1053,121,1,1,3,Yes,211133,117296,7819750,1
Velachery,1596,87,2,1,4,No,426242,200584,12536520,1
Karapakkam,1368,108,2,2,4,No,195498,103180,5430500,1
Anna Nagar,1544,26,1,1,4,No,423737,105934,13241770,1
KK Nagar,1486,6,2,1,4,No,439240,213345,12549700,1
Chrompet,1285,40,2,1,4,No,288856,55908,9317950,1
Karapakkam,1501,156,2,2,4,Yes,371076,123692,7730750,1
KK Nagar,2218,162,3,2,5,No,381938,152775,12731260,1
Chrompet,1117,133,1,1,3,Yes,246778,49356,9871100,1
Anna Nagar,1561,142,1,1,4,No,351093,203861,11325590,1
Karapakkam,792,183,1,1,2,No,129465,90626,4315500,1
Adyar,1212,48,2,2,4,No,286674,98544,8958560,1
T Nagar,1977,155,2,1,5,No,327617,194143,12133960,1
Anna Nagar,1965,156,2,1,5,No,644310,199958,22217590,1
Karapakkam,775,29,1,1,2,No,249063,59775,4981250,1
Chrompet,892,155,1,1,3,Yes,282752,111387,8568240,1
KK Nagar,1696,83,2,1,4,No,409359,232591,9303620,1
Chrompet,833,173,1,1,3,No,276935,138468,9890550,1
Karapakkam,541,15,1,1,2,Yes,281783,89931,5995375,1
KK Nagar,1414,9,2,1,4,Yes,433952,247973,10332200,1
Velachery,1966,35,3,2,5,No,508782,238492,15899450,1
Chrompet,704,127,1,1,2,Yes,217559,31080,7769980,1
Chrompet,871,2,1,1,3,No,263614,65903,9414770,1
KK Nagar,1380,81,2,1,4,Yes,342025,262219,11400820,1
T Nagar,1885,113,2,1,5,No,803512,370852,20602870,1
Karapakkam,916,176,1,1,3,Yes,208554,76836,5488250,1
Chrompet,1115,39,1,1,3,No,365445,48726,12181500,1
Chrompet,919,34,1,1,3,No,317425,102029,11336600,1
Karapakkam,883,115,1,1,2,No,182222,52642,4049375,1
KK Nagar,2065,29,3,2,5,Yes,651668,117300,13033360,1
Velachery,1869,106,3,2,5,No,412454,176766,11784400,1
Velachery,1625,181,2,1,4,No,496928,241365,14197950,1
Karapakkam,537,186,1,1,2,Yes,250604,74648,5332000,1
Velachery,1534,189,2,1,4,Yes,289647,106204,9654890,1
Chrompet,1082,0,1,1,3,Yes,321184,126527,9732850,1
Chrompet,1279,143,2,1,4,No,325972,67443,11240430,1
T Nagar,1544,197,1,1,4,No,289167,115667,11566670,1
Chrompet,1101,78,1,1,3,Yes,355568,136757,13675700,1
Karapakkam,1230,93,1,1,3,No,266364,103284,5436000,1
Karapakkam,956,79,1,1,3,Yes,353568,176784,7686250,1
Karapakkam,552,49,1,1,2,Yes,210170,84068,5254250,1
Chrompet,925,50,1,1,3,Yes,266081,77249,8583250,1
Anna Nagar,1822,122,2,1,5,Yes,382908,147272,14727220,1
T Nagar,1781,190,1,1,4,Yes,608669,284046,20288980,1
Anna Nagar,1628,4,1,1,4,No,366471,78530,13088250,1
KK Nagar,1736,188,2,1,4,Yes,414262,116843,10622100,1
KK Nagar,2016,31,3,2,5,No,375374,125125,11374960,1
Adyar,779,98,1,1,2,No,208990,18440,6146755,1
Chrompet,1217,123,2,1,4,Yes,300107,139335,10718100,1
Velachery,1601,36,2,1,4,Yes,403834,260538,13026890,1
Karapakkam,1201,34,1,1,3,Yes,342198,133077,9505500,1
Karapakkam,579,88,1,1,2,No,274056,51386,5709500,1
KK Nagar,2289,66,4,2,6,No,854535,390114,18576840,1
Adyar,1023,67,1,1,3,Yes,270380,9013,9012665,1
KK Nagar,1900,87,3,2,5,Yes,772422,394428,16434500,1
Chrompet,807,59,1,1,3,Yes,251912,46650,9330090,1
T Nagar,1653,164,1,1,4,Yes,589079,304041,19002540,1
KK Nagar,1452,90,2,1,4,Yes,435863,93399,10377680,1
T Nagar,1934,63,2,1,5,No,707773,343163,21447680,1
Velachery,1972,141,3,2,5,No,459010,91802,11475260,1
Anna Nagar,1606,160,1,1,4,No,378045,103103,11455900,1
T Nagar,1908,30,2,1,5,No,611940,203980,20398010,1
Chrompet,741,32,1,1,2,No,264275,41293,8258600,1
Adyar,734,131,1,1,2,Yes,398500,20436,10217940,1
TNagar,1504,146,1,1,4,Yes,414886,282122,16595430,1
Chrompet,1121,44,1,1,3,No,214830,93093,7161000,1
Anna Nagar,1979,80,2,1,5,Yes,401521,220189,12952300,1
Karapakkam,1105,137,1,1,3,Yes,277039,98304,8936750,1
Velachery,1528,176,2,1,4,No,262180,56688,7085950,1
Anna Nagar,1712,51,1,1,4,Yes,312470,62494,12498810,1
Adyar,955,145,1,1,3,No,315226,19105,9552295,1
